gene_name,logFC,P.Value
RPL23AP21,0.34787424522109883,0.0032169562590874915
MTND1P23,0.0224185825491714,0.9154340343909149
MTND2P28,-0.1671465231519938,0.3891641977052761
MTCO1P12,-0.2543441242861055,0.09317651197944385
MTCO2P12,0.11184317298352972,0.4240997495739377
MTATP6P1,0.08917380178211741,0.575915237523891
MTCO3P12,0.027107104829476956,0.8321136073291696
LINC01409,0.4292556940918938,6.96704058255113e-5
LINC01128,0.0350430887957122,0.5588773731606944
LINC02593,0.514646268518173,0.0021729662590816443
SAMD11,0.41196927160537955,1.3855106024407708e-4
NOC2L,0.019005865297654526,0.721948209533894
KLHL17,1.5307174174734612e-4,0.9981051693428586
HES4,-0.05682365220156712,0.4506004714519679
ISG15,-0.08905137265869702,0.28506024253108664
AGRN,0.17978096412045705,0.024646248083156734
C1orf159,0.17987813768956773,0.007137941738972841
TTLL10,0.22616184771177855,0.3933894117468234
SDF4,0.08196490827809538,0.09609868319083181
B3GALT6,-0.011576454871469926,0.7864778374589023
UBE2J2,0.026073571151472737,0.3786491250909383
SCNN1D,0.30720737984319174,6.788798039948933e-4
ACAP3,0.10379728580322961,0.07973761697348204
PUSL1,-0.053440968039569305,0.3093537959697513
INTS11,0.16091291508715033,0.004357710352395787
CPTP,-0.017350097123587954,0.6991240790937787
DVL1,0.011548714267186587,0.757246741087389
MXRA8,0.2224455265099933,0.01571045826406325
AURKAIP1,-0.13823287297814582,0.015215401320659886
CCNL2,0.19886988676992284,0.005185142075022045
MRPL20-AS1,-0.04206874658153253,0.3867346302802709
MRPL20,-0.14652050193533148,0.014627131894694886
ANKRD65,0.06987619756061182,0.44359783887905857
TMEM88B,0.11940896369703823,0.41992810047699347
VWA1,0.09421971250479869,0.3540127546148173
ATAD3C,0.3713499862097951,0.014491613380347993
ATAD3B,0.1542197075798864,0.02851750612624415
ATAD3A,0.15968372427792527,0.003768685414100647
TMEM240,-0.05789836821981646,0.4038960841782304
SSU72,-0.07200392621629957,0.09328633321173385
